views_per_month,age_months
0.49,165.12
0.29,24.04
0.13,15.98
8.84,21.16
0.18,174.80
72.88,1.73
0.10,148.49
2.27,12.77
0.44,73.22
84.91,5.08
1.13,25.62
0.00,93.27
0.00,11.20
86.55,16.23
12.59,8.58
0.03,175.00
4.79,2.50
0.07,187.51
1.46,47.79
0.16,109.67
7.64,119.48
2.98,124.65
27.97,22.99
1.00,35.05
86.01,238.45
1.29,6.20
0.00,55.61
32.15,38.04
1.10,16.29
0.00,3.11
67.21,17.17
2.37,127.72
3.75,45.12
1.54,15.60
0.00,10.91
3.76,10.37
0.56,120.98
2.98,45.99
0.03,73.27
4.78,13.18
1.19,42.93
1.24,162.66
0.12,130.53
0.43,18.81
0.02,55.49
0.02,166.19
4.26,11.26
0.33,69.25
3.94,11.42
0.23,169.01
0.05,74.43
0.46,63.00
1.09,62.19
14.33,22.12
1.00,53.17
4.09,126.23
0.24,155.70
0.46,67.37
152.55,13.41
0.00,92.51
25.48,2.47
1.24,72.66
6.26,0.48
1.42,36.74
0.05,124.60
0.27,163.63
1.48,34.55
595.08,84.41
0.13,59.63
0.20,172.65
0.49,10.26
0.42,126.57
2.45,51.42
0.00,3.00
0.41,53.35
2.76,42.00
0.42,86.30
0.12,86.73
2.51,52.58
1.29,71.56
1.09,39.45
0.02,86.66
2.51,78.36
0.14,50.34
1.58,12.65
1.03,41.95
0.00,20.48
0.48,47.55
0.05,38.76
8.04,58.21
0.19,101.44
118.80,186.95
0.98,136.40
3.22,35.14
52.55,31.00
35.44,3.78
0.86,30.18
0.05,107.24
1.36,55.69
0.11,70.33
0.03,30.82
3.82,156.84
0.31,112.05
39302.51,0.06
0.54,79.15
0.24,58.99
0.30,26.84
8.64,138.60
0.31,12.71
0.07,41.78
1.49,37.01
0.23,108.57
0.33,143.41
124.58,0.28
1.06,187.15
0.02,44.89
0.10,20.39
24.53,53.93
0.42,23.67
0.21,42.17
3.67,27.83
57.72,75.66
0.44,85.52
0.52,212.88
0.06,54.54
4.37,194.53
0.10,20.26
0.28,190.50
0.03,36.99
0.71,52.43
1932.96,3.50
2.57,2.72
0.18,87.83
0.00,26.71
0.24,20.72
48.73,44.20
1.44,39.60
2.71,67.95
0.38,21.22
0.14,57.48
6.71,13.57
0.57,28.04
0.93,56.72
0.02,46.70
0.00,30.80
0.00,86.91
0.10,172.93
1.34,114.73
0.31,29.36
2.93,99.48
2.26,23.42
0.36,27.45
2.22,15.35
0.64,35.82
0.17,96.13
0.65,20.06
92.92,5.83
1.75,108.10
35.57,38.01
0.08,79.85
9.41,23.28
0.04,128.04
0.23,21.81
0.40,156.54
0.09,131.50
0.41,2.46
14.21,70.14
25.17,0.20
1554.60,0.12
24.02,185.25
7.37,72.33
0.24,114.88
20.31,3.50
0.38,230.12
27.24,103.32
47.75,48.38
0.06,167.85
0.78,44.61
0.97,130.14
0.98,126.19
7.86,8.27
0.57,47.53
69.80,64.41
42.47,69.84
12.31,18.51
0.01,139.04
1.69,34.24
0.45,172.49
80.49,5.01
6.09,14.61
0.12,66.88
0.65,64.41
0.39,7.60
5.63,153.08
0.00,40.14
1951.71,128.49
0.19,51.55
3.03,108.79
0.58,22.33
0.48,18.66
2.32,47.90
55.48,98.81
3.08,85.58
26.62,0.34
8.16,6.86
33.74,1.27
10342.03,0.68
37.97,92.83
0.78,86.71
14.60,95.74
0.94,55.59
0.42,86.35
0.49,39.17
1.26,72.86
0.70,49.99
1.61,23.60
0.17,178.44
1.10,17.20
0.02,106.34
0.00,125.34
2.26,194.38
0.23,21.97
1.19,34.50
0.02,130.56
0.90,26.57
0.11,17.83
0.70,1.42
8.60,40.47
18.26,1.92
22.13,24.86
0.00,23.46
51.76,5.18
5.57,34.48
0.16,36.91
0.62,79.40
0.04,74.10
1.04,56.74
0.16,31.58
0.24,61.48
2.34,5.97
0.04,78.04
0.73,24.83
1.06,46.36
20.70,77.31
3.50,138.09
18.92,3.22
0.00,36.22
466.28,2.34
1.57,47.64
0.37,67.82
0.88,74.69
262.25,74.52
62.83,7.88
0.16,57.77
0.29,159.54
4.53,145.40
4.71,54.30
1.16,27.65
0.11,54.79
0.89,40.29
0.13,87.91
2.94,71.81
21.76,84.43
0.69,53.90
1.67,61.24
0.09,151.48
1.78,26.43
12.70,20.71
1.72,37.24
12.85,11.36
1.14,117.97
0.27,159.99
6.60,10.30
69.56,110.60
2.33,33.46
6630.59,26.54
0.11,44.40
0.70,89.70
0.00,94.89
0.09,139.96
0.74,87.44
1.40,217.22
19.11,12.09
0.42,30.74
2.66,4.89
0.00,6.61
17.84,97.57
0.09,55.49
17.79,82.50
0.06,47.63
16.53,8.89
0.39,12.87
10.56,14.68
9.35,30.36
0.27,11.21
35.24,94.05
144.61,190.20
2.00,18.49
0.03,87.20
0.06,16.65
0.05,19.17
0.28,75.59
0.02,169.30
17.16,60.84
0.00,13.18
7.71,107.88
0.04,44.64
0.45,22.39
0.18,73.31
2.31,38.07
31.00,7.87
2.09,25.41
0.40,53.07
0.10,38.48
0.43,65.87
0.39,36.08
1.21,123.23
505.13,0.03
7.19,6.67
0.31,26.04
0.12,25.96
133.11,70.96
1.00,12.05
1.74,111.61
0.01,105.56
0.01,114.59
3.02,2.98
0.04,76.94
0.00,0.14
0.06,206.31
2.60,61.93
0.65,82.67
0.02,51.46
6.61,2.12
0.14,34.83
452.79,70.01
16.75,4.72
2.72,52.30
0.34,53.08
1.02,48.27
0.34,106.62
0.04,149.33
0.69,107.61
1.35,8.88
47.65,22.85
0.22,41.01
37.09,66.71
74.18,1.32
0.07,114.07
0.05,57.84
0.32,21.99
4390.74,5.93
0.16,173.36
16.44,4.74
0.00,76.51
2.56,61.24
30.58,22.86
28.61,12.86
0.00,3.31
0.82,145.93
0.04,23.99
1.56,53.37
2.17,110.11
34.16,19.99
2.66,16.15
4.37,105.23
0.41,63.24
2.20,38.23
2.52,11.92
0.47,18.96
0.63,60.37
0.21,33.79
0.01,104.46
0.03,90.73
25.32,10.43
3.19,46.15
0.32,119.41
16.05,118.49
0.06,108.33
8.79,8.65
0.26,88.25
1.07,10.32
0.13,108.78
2.44,33.61
0.45,79.20
0.07,167.60
0.63,123.81
0.25,161.97
0.10,49.67
0.34,11.85
101.61,54.88
318.33,70.53
48.13,86.68
124.85,3.87
0.65,103.81
1226.08,90.66
2.51,79.54
61.93,0.68
7.10,0.99
1.02,73.52
0.10,81.65
3.68,42.61
0.53,81.23
0.09,23.46
0.49,106.53
0.95,37.74
2.85,117.09
1.17,33.34
3156.13,72.48
0.21,71.90
92.52,1.35
0.00,0.74
5.92,5.06
15.54,68.66
0.13,45.69
1.06,6.62
0.14,41.70
2.32,23.29
2.74,6.57
0.07,108.44
0.09,88.75
80.25,14.19
3.96,38.86
24.24,0.58
4.42,23.05
0.68,128.44
0.02,49.13
1.78,94.72
1.46,6.83
0.48,183.08
0.80,41.26
0.48,81.36
178.67,0.21
9.85,5.08
21.56,33.71
0.74,25.63
1.13,145.09
5.56,188.06
1.55,182.37
1.61,154.60
10.11,14.64
0.22,49.21
6.66,34.36
1.62,122.06
8.25,20.24
5.02,191.07
6.78,8.70
1.84,21.74
1.11,7.21
17.50,11.03
1.61,46.61
0.65,98.24
0.26,61.04
56.87,9.41
1.10,141.28
19.36,5.17
11.14,29.71
9.69,63.58
1.33,31.52
2.10,21.92
0.32,149.57
19.77,192.34
0.06,77.06
1.30,47.53
1.94,143.48
0.74,230.00
0.90,92.01
0.16,36.97
0.03,70.45
0.57,91.03
6.55,30.25
24.34,3.90
3.77,12.45
3.20,28.11
1.41,40.35
45.54,10.47
0.24,69.93
0.14,21.16
6.31,4.44
2.94,73.52
26.74,3.48
1.11,10.86
5.37,78.63
0.24,78.59
0.33,24.39
30.80,0.13
235.91,97.95
0.06,17.59
0.06,86.98
0.28,7.25
0.24,174.04
1.21,38.90
0.68,44.38
0.65,1.53
0.10,80.75
0.58,97.03
75.10,56.34
32.28,5.89
0.00,56.35
0.18,70.71
25.98,5.77
109.55,18.07
0.00,22.82
1.96,34.76
0.23,25.89
21.54,19.41
0.01,143.30
0.10,51.71
13.34,5.10
0.42,21.26
22.41,4.55
1.06,43.59
1.01,11.83
5.46,116.58
0.16,167.76
0.02,82.08
5.91,104.35
0.67,73.14
0.07,91.05
7.52,3.06
0.30,56.18
9.42,5.52
4.87,22.38
3.30,1.21
33122.60,1.39
25.33,69.26
3.90,48.47
0.00,10.33
37.52,76.99
0.02,161.96
0.66,180.86
6.44,28.43
41.04,1.66
45.45,18.75
4.60,6.09
0.14,29.14
342.68,0.77
82.29,39.02
6.52,21.01
0.10,90.15
0.17,23.18
0.00,15.57
3.22,34.79
0.00,3.84
0.25,73.03
0.00,146.39
0.54,14.83
0.16,122.39
0.31,45.38
2.22,28.44
0.74,75.28
21.18,34.13
0.01,146.86
161.38,0.43
0.38,26.37
59.61,0.32
1.13,8.88
2.89,96.54
194.15,9.56
0.10,73.56
0.19,159.37
1.10,47.33
2.42,1.65
1.25,73.42
0.74,28.28
171.26,65.22
0.02,95.50
4.66,31.09
0.40,50.07
1.29,1.55
1535.19,18.76
4.23,4.25
0.21,72.22
1.03,57.29
76.40,152.40
61.88,61.90
0.38,70.52
351.54,36.97
0.00,102.49
1.73,127.56
1614.80,100.86
0.41,39.32
6.15,22.27
3.59,35.40
0.47,76.94
2.22,3.15
4.95,4.24
0.00,28.59
0.59,108.41
8.62,54.74
9.12,11.19
14.50,11.03
307.35,16.18
2.52,23.05
0.41,167.14
0.06,145.25
0.18,61.94
5.53,8.86
17.29,69.83
0.03,34.65
0.04,110.76
0.32,102.90
0.00,4.44
5.70,73.63
46022.97,0.77
0.03,57.24
265.15,18.00
1.01,173.19
20.28,226.47
0.66,48.76
0.56,51.85
0.66,33.28
14.44,118.17
0.58,73.03
0.13,110.32
23.25,40.64
0.12,58.88
0.28,60.69
121.18,12.44
76.71,23.53
0.60,58.47
19.03,40.72
6.72,3.42
1.77,24.32
0.25,52.30
0.46,66.94
0.03,69.37
0.00,12.80
30.12,11.88
1.16,128.86
0.17,57.88
713.58,198.19
2.49,64.73
0.69,31.93
0.44,63.80
2.71,36.55
34.71,27.49
0.23,108.27
277.25,43.33
0.06,100.65
1.19,19.27
0.44,85.93
0.95,53.66
0.70,73.87
10.40,20.00
6.34,128.08
0.85,34.26
150.57,53.73
0.06,103.78
1.25,59.14
0.05,20.35
0.61,145.29
178.22,23.76
3.57,31.95
10.12,204.54
0.74,96.54
0.15,26.42
91.99,1.89
0.15,20.60
1.71,147.73
0.72,53.12
38.54,12.35
1.40,139.90
0.85,7.04
3.11,62.06
0.09,11.68
0.59,96.52
0.75,45.16
0.56,16.06
5.20,42.92
8.03,0.87
1424.05,2.21
0.06,47.91
2.08,140.05
0.13,114.06
3.30,7.57
0.16,67.04
1.60,23.19
0.12,134.87
0.13,23.38
1.66,31.86
0.62,43.89
0.05,180.17
0.33,18.01
0.00,24.73
1.92,45.29
2.14,61.63
0.46,94.83
0.19,110.83
42.45,49.66
0.07,27.44
0.16,125.24
12.87,2.56
0.52,27.07
0.00,71.88
0.04,81.38
0.06,36.33
1.30,43.94
5.90,23.07
3.77,163.23
8.37,103.12
9.06,10.49
2.56,157.93
2.35,3.41
127.75,55.81
0.02,83.89
1.65,58.33
2.03,32.04
0.88,189.59
0.20,14.95
0.19,31.42
13.44,66.20
0.12,75.90
7.13,8.14
0.18,67.52
0.33,51.60
0.39,10.27
0.95,42.15
0.10,147.17
17860.56,0.53
0.00,80.05
0.00,24.68
22.63,28.46
14.71,0.75
0.02,53.10
0.05,38.76
0.76,15.71
0.09,80.99
0.18,10.89
0.06,128.15
0.00,13.96
3.64,12.37
1.43,39.98
0.23,57.39
0.13,22.45
0.00,66.21
0.29,72.53
0.27,62.44
19.00,18.74
0.03,130.27
3.80,1.58
0.02,41.50
0.00,99.11
0.54,163.52
2.17,128.33
33.07,83.83
1.57,39.56
0.00,18.74
0.54,7.36
0.55,60.27
0.00,27.28
131.54,103.51
0.07,57.82
0.03,174.63
2.46,48.00
9.39,88.17
3272.53,3.29
8.28,29.72
0.24,20.78
4.42,12.20
21.16,25.57
0.11,195.98
0.01,141.32
78.70,28.69
3.08,174.50
13.76,104.33
9.96,136.49
0.58,56.59
1.23,76.54
0.00,37.54
0.99,13.07
0.19,26.62
2.82,17.75
5.81,96.17
0.05,95.57
1.02,12.76
0.36,8.29
438.15,34.56
3.17,1.89
0.06,51.76
1.67,153.96
0.08,89.70
0.36,170.84
0.17,29.82
1.68,6.54
4401.85,36.76
280.60,34.65
0.43,7.05
0.06,33.17
42.30,6.97
0.34,32.12
35.12,7.18
9.97,72.62
18.08,1.33
1.37,21.82
0.15,121.44
0.00,28.75
167.70,63.28
0.21,24.17
0.11,57.13
1.11,63.78
4.38,79.63
5.53,23.51
17.88,34.23
0.34,32.29
0.86,93.42
0.02,54.85
6.56,63.14
0.29,112.01
19.06,22.40
1.97,24.85
117.17,26.31
0.01,81.71
0.29,58.16
0.17,63.57
0.00,30.17
0.64,64.42
1.16,26.83
1.56,56.99
4.40,0.68
12.33,1.95
2.42,13.20
34.76,122.98
3.35,132.33
1.23,17.89
3.00,6.67
0.24,33.88
4.20,64.28
0.07,93.90
0.00,20.99
0.07,69.76
212.35,21.93
25.13,11.26
0.74,41.98
10.35,2.61
0.00,68.41
7.70,92.06
36.77,36.61
72.45,69.91
12.39,21.87
0.64,119.44
0.37,32.71
0.19,195.55
22.99,53.80
1.44,39.69
0.88,104.92
5.81,200.99
2.04,31.38
4978.32,4.88
3.07,78.85
4.54,59.20
0.47,29.85
0.74,111.55
0.33,24.47
0.00,120.68
0.27,110.26
15.40,16.55
2.19,192.80
0.04,124.70
1.25,150.98
0.33,131.83
6.17,137.24
2.16,31.49
0.02,125.41
1.34,95.51
0.08,76.58
0.11,141.48
0.11,88.97
0.68,93.04
1.00,4.00
1.07,99.48
57.06,16.54
0.08,52.23
0.14,49.45
0.74,53.01
0.17,23.43
0.48,8.31
1.78,151.95
5.11,15.85
0.05,42.72
0.25,159.42
0.11,73.03
0.14,155.64
0.04,75.15
0.81,67.99
5.36,25.21
3.60,75.24
0.02,56.00
0.70,229.06
0.97,14.37
0.10,72.02
1.79,8.40
2.51,29.50
7.73,133.12
0.11,128.13
55.65,44.58
2.34,45.64
17.72,3.89
14.34,67.97
0.19,226.30
9385.80,40.62
0.39,89.07
0.15,79.39
6445.16,0.14
0.29,69.90
0.09,140.46
0.00,89.26
3.74,7.22
0.09,74.54
0.95,38.89
4.90,10.40
20.80,18.75
228.29,15.28
0.60,48.49
1.62,26.59
39.98,66.68
0.16,135.93
0.36,176.03
0.36,58.83
7.57,45.20
2.58,118.73
4.68,23.28
0.50,29.95
7.56,14.81
0.26,23.00
35.66,4.12
0.94,34.98
0.25,100.76
1.51,24.45
7.02,11.11
5.55,102.88
11.94,26.73
0.17,63.86
2.15,37.62
341.26,4.58
0.25,27.60
0.31,58.97
0.17,81.12
2.98,104.81
0.00,12.96
303.13,5.22
46.30,29.52
38.27,43.61
0.10,169.77
2.34,148.11
93.74,19.12
0.45,91.40
0.08,71.03
0.51,21.74
7.67,13.44
0.28,128.68
0.29,99.74
0.04,25.06
16.45,0.36
0.14,41.53
12.33,4.05
0.04,101.74
154.51,16.37
315.60,76.84
0.46,39.35
0.42,156.36
0.14,14.56
0.34,29.42
741.70,0.09
0.32,191.36
236.66,12.03
0.00,36.40
2.96,35.78
86.29,91.18
1.76,27.22
8.31,40.58
0.72,153.33
0.05,60.06
0.32,127.27
0.14,14.13
0.00,54.63
1.22,72.67
5.24,13.56
13.34,63.34
0.00,135.05
0.15,46.19
0.20,39.50
0.07,44.47
2.52,19.08
0.14,43.51
1.15,217.37
0.33,202.62
2.77,16.59
3.18,140.24
0.12,101.25
0.48,39.51
0.74,54.16
85.90,99.70
2.60,146.17
0.11,72.54
1.49,88.56
216.02,0.51
0.05,21.74
0.98,107.67
0.00,3.66
0.03,62.96
0.28,102.07
9.37,102.41
0.92,71.44
0.44,56.91
8.23,29.40
0.69,14.46
2.03,157.23
3.93,57.23
29.52,24.87
0.62,25.77
0.57,167.08
0.05,62.86
0.98,63.56
16.23,43.49
0.74,22.91
0.44,38.68
1.26,54.86
0.29,24.41
0.31,29.12
2.92,16.12
9.89,148.25
4.90,59.43
1.26,125.66
2.29,20.04
0.33,67.48
41.72,8.15
1349.99,55.25
1.88,76.54
31.73,157.55
5.75,45.53
7.00,13.00
1.07,166.78
3.30,39.68
0.29,54.33
0.01,80.80
3.67,33.28
0.05,74.40
0.02,86.70
1.66,9.67
14.22,117.21
8.75,100.61
48.08,106.42
5.20,103.88
2338.89,84.35
1.45,17.26
162.53,9.46
1.11,34.28
3.04,165.05
1.56,83.17
56.52,45.91
65.27,38.61
0.46,38.82
4.03,128.85
0.03,63.50
0.07,14.36
0.19,20.84
2.93,30.75
0.56,42.73
1.63,39.93
3.13,114.36
456.21,56.58
24.21,69.45
0.58,32.70
2.37,82.98
2.46,32.11
0.27,37.00
0.08,12.48
0.07,55.31
5.39,47.32
0.19,36.51
0.06,108.08
70.07,0.43
0.54,75.99
263.53,0.59
11.13,20.75
1.48,34.41
0.00,48.64
4.71,12.09
10.35,13.71
143.45,115.21
0.16,50.76
0.17,29.83
0.00,24.35
0.31,22.84
0.32,161.54
0.00,104.53
84658.75,0.06
234.19,60.27
0.57,74.89
0.13,121.26
0.22,72.29
0.75,24.00
43004.68,51.60
376.16,43.41
10.17,38.07
3.06,18.94
3.75,8.28
16.63,18.40
2776.85,75.82
0.03,38.25
1.36,77.06
2.55,63.47
0.43,73.95
5455.20,9.05
0.71,108.64
0.02,55.61
4.11,60.37
2266.40,34.36
20.40,0.39
0.74,180.02
0.02,46.32
0.04,23.42
0.39,35.84
3.02,20.17
108.52,56.96
0.00,94.89
0.48,125.58
0.02,40.28
0.07,45.49
34.15,121.42
98.42,44.77
1.66,18.07
0.35,198.52
0.64,15.73
0.11,45.78
4.43,25.51
153.13,56.41
38.03,1.97
0.15,84.19
21.63,32.31
1.14,42.02
4.58,175.02
66.24,13.15
86.19,133.81
418.89,39.18
425.23,113.47
0.06,177.75
15.68,168.32
0.67,59.79
2.70,33.31
0.10,107.18
10.97,48.58
8.69,112.68
73.06,84.39
0.54,40.97
0.62,147.95
0.02,53.20
0.09,112.47
0.07,26.99
2.26,23.91
8.87,60.73
26.91,34.00
23.82,0.88
1.66,24.15
33.27,28.73
0.80,115.63
0.96,113.06
82.01,0.74
0.26,94.96
0.25,198.48
0.07,61.25
331.64,10.85
30.91,26.24
4.61,38.00
30.40,16.71
8.19,78.88
0.23,60.22
1.97,11.69
5.96,28.18
3.20,45.93
44.79,22.71
1.01,14.82
471.13,0.23
1.99,136.19
222.23,157.01
1.90,66.85
0.21,32.64
30.70,28.41
0.05,109.54
0.02,51.89
43.41,2.12
2.00,32.52
10.82,74.02
87.66,18.97
2.55,71.76
11.08,21.39
1.36,3.67
0.15,61.89
0.46,39.53
2.04,11.27
0.88,26.13
0.09,67.23
1.01,67.03
3.84,53.89
0.27,74.60
1.28,129.33
3.24,72.62
1.21,31.31
0.00,24.35
0.06,68.55
0.50,38.13
8.33,7.92
0.23,161.63
0.15,73.73
0.55,64.08
3.58,59.23
2.16,34.25
0.18,99.19
51.57,32.85
1.31,12.94
32.55,2.06
0.00,88.58
36.38,46.37
1.32,137.51
0.14,151.01
1.46,19.20
89.92,0.07
3.36,1.79
0.04,53.44
0.31,61.77
1.02,117.63
11.94,195.84
0.26,11.35
366.42,36.40
0.96,6.24
4.20,16.19
0.53,37.58
0.89,59.76
0.12,60.32
1.48,36.41
0.03,105.96
6.98,54.87
0.10,185.11
0.10,164.20
1.33,58.69
18.93,6.92
0.00,1.11
2.60,84.53
0.11,45.86
0.78,14.07
0.41,145.02
0.04,27.19
9.85,66.08
279.57,18.03
0.02,132.96
433.39,59.79
0.23,69.23
0.05,136.29
0.12,25.94
1.09,91.99
0.69,5.77
0.09,68.74
1.00,63.12
27.34,97.47
1.55,38.12
0.17,96.31
0.05,100.86
1.40,22.93
18.55,77.12
0.04,52.27
0.06,69.70
3.40,152.13
0.17,119.41
0.03,33.13
0.19,103.81
0.20,66.19
1.22,40.14
0.98,96.08
2.14,51.50
10.62,19.12
336.32,22.71
0.14,44.15
461.60,1.85
2.84,44.29
0.31,58.92
0.10,144.34
2.49,11.67
0.23,110.44
0.02,57.59
0.79,24.07
0.17,63.52
1.31,110.79
2.39,57.42
193.70,31.07
5.72,4.89
41.81,66.18
0.43,164.74
89.63,28.88
1.21,38.74
111.33,128.19
82.20,35.89
1.80,52.32
1.88,33.53
0.50,130.81
0.14,57.23
20.27,45.94
82.13,13.33
0.01,68.85
1.13,114.55
1.17,17.94
1.19,38.50
1.60,49.86
2.09,9.57
0.55,56.06
0.47,14.91
8.45,0.95
0.92,10.89
1.10,57.01
0.22,23.18
0.58,25.82
1.25,73.66
2.03,47.89
22.73,12.05
0.01,96.30
0.20,64.84
0.12,34.56
1.38,52.00
0.60,9.92
0.91,14.32
0.14,168.48
1.46,9.57
0.02,59.51
0.84,78.77
1.85,106.15
3.33,6.31
0.25,39.58
1.77,93.54
0.05,62.67
0.12,66.71
0.50,70.33
0.34,23.31
0.09,22.06
33.11,5.98
6.14,26.73
66.35,110.31
2.47,31.17
0.00,45.89
12.17,86.13
1.48,14.85
1.15,72.20
0.01,71.59
433.71,25.71
0.76,55.15
0.13,69.01
0.04,54.43
34.50,15.07
2.59,15.85
1.50,6.01
0.09,33.33
0.03,66.51
0.00,54.21
2.12,88.00
1.40,6.43
17.33,5.48
1.38,11.61
0.27,70.76
4.07,21.38
0.16,30.31
163.27,67.67
21.91,1.60
0.04,22.62
0.42,47.21
0.14,20.90
15.52,67.70
6.63,105.68
0.77,35.01
1.21,53.79
81.40,2.37
9.70,53.30
0.00,4.58
84.03,0.11
0.39,101.08
49.77,108.24
0.03,114.40
3.58,17.05
0.26,128.55
5.15,11.07
138.99,15.92
4.02,6.97
0.36,36.53
0.17,53.57
0.51,92.81
32.30,37.31
16.71,19.51
1.06,74.56
6472.64,20.39
0.00,23.47
0.98,24.49
2.74,10.59
0.38,52.36
88.60,20.55
0.06,71.64
0.02,63.21
0.02,85.16
9.98,37.08
0.00,26.73
780.44,56.46
14.33,41.66
0.00,0.03
16.23,1.23
0.03,97.36
4.00,88.10
0.30,118.40
3.28,8.84
1.72,14.51
3.73,205.56
340.50,93.83
1.63,33.84
1.84,3.81
0.05,174.15
5.23,49.12
0.03,31.43
1.64,12.20
2.24,190.86
136.67,2.14
0.63,33.59
3.46,39.91
1.09,51.47
3.49,66.99
0.50,56.55
2.11,168.13
0.05,41.98
1.58,15.80
0.39,187.55
0.37,16.31
0.34,35.29
350.37,3.78
0.00,5.13
0.12,136.66
0.17,48.27
0.03,78.65
5.33,197.32
0.09,63.47
0.29,23.85
0.37,48.33
1.82,26.31
0.15,167.42
1.05,11.38
0.12,162.80
0.02,165.07
9.80,14.19
0.77,20.70
31.03,67.78
0.08,36.08
0.07,71.63
0.10,61.57
0.51,76.37
631.62,33.66
0.08,36.37
0.09,157.20
0.88,190.63
1.78,47.84
0.64,74.89
0.15,65.19
7.81,13.18
91.42,67.04
16.22,4.63
3.63,195.46
0.54,68.03
0.02,42.63
0.02,41.57
3.66,76.51
0.76,50.17
1.35,64.64
866.85,0.20
4.15,43.16
2.40,5.00
5.11,24.87
0.05,131.40
0.21,27.98
0.61,21.41
1.06,13.20
2.72,100.02
0.09,65.22
0.06,78.20
0.30,19.78
0.07,90.62
0.51,150.39
0.44,25.05
0.44,39.06
26.09,155.38
1.65,73.35
1.31,121.04
551.60,45.02
77.92,161.67
0.19,93.18
5.43,9.22
185.22,81.31
11.47,20.93
0.64,73.12
5.52,100.90
0.93,56.83
0.54,29.79
0.00,80.21
0.18,117.59
0.02,52.78
0.44,82.75
1240.34,1.68
2.60,11.16
0.41,128.37
92.92,11.44
0.52,123.02
2731.24,74.96
2.03,64.02
0.87,34.47
0.25,139.47
0.00,18.95
0.62,17.67
0.48,45.83
7.20,83.58
0.25,181.57
0.06,35.32
0.73,42.59
0.65,100.68
0.73,51.81
14.19,144.80
0.15,13.57
1.80,74.00
2.32,34.46
0.33,36.66
4.03,3.47
0.12,51.47
4.18,22.70
0.05,132.08
0.26,112.43
0.10,87.29
0.23,198.22
1.07,38.24
0.15,46.34
0.31,55.08
5.45,39.24
52.83,7.34
2.96,9.45
480.77,28.20
0.43,6.91
0.77,63.50
6.57,134.42
3.43,203.75
90.54,12.05
2465.76,51.24
0.04,198.28
0.29,102.11
0.88,33.99
15.18,2.17
0.38,101.61
0.32,135.54
0.37,69.36
4.00,12.51
280.31,115.24
0.08,60.60
2.89,47.82
3.04,98.98
0.11,88.88
11.19,3.31
44041.67,11.04
2.50,47.18
0.26,125.36
0.51,39.47
1.72,94.86
94.86,8.34
3340.32,0.91
4431.56,133.85
1.51,57.52
0.06,49.48
0.07,196.17
17.68,44.00
0.04,52.53
37.54,25.09
0.00,45.98
0.04,99.10
0.16,12.47
0.80,72.36
3.23,62.53
7.54,7.95
0.22,69.46
0.03,58.86
0.43,51.61
295.73,23.49
0.06,47.38
0.13,53.64
3.80,11.32
3.53,3.40
0.53,26.27
1.30,3.86
16.41,105.97
0.09,166.54
9.39,113.10
3.47,82.97
15.18,7.77
1.76,37.50
10.35,29.85
1.95,49.63
10.33,2.42
1.60,5.00
0.22,40.81
93.41,7.58
1.69,112.95
0.11,44.68
11.59,63.85
1.54,22.04
4.16,72.75
38.81,51.84
17.32,3.87
0.12,43.43
0.27,59.38
0.09,67.39
0.00,117.85
30.66,207.92
0.77,170.78
0.07,59.10
59.34,94.25
3.28,53.88
14.47,34.50
4.13,4.12
0.00,99.13
0.02,55.03
0.00,63.44
0.14,84.73
0.28,45.84
1.61,53.28
87.71,23.72
2.32,147.05
0.06,171.11
0.08,113.42
0.08,50.30
0.34,60.97
167.01,128.63
0.05,41.06
0.04,82.91
0.26,26.54
1.46,34.36
139.93,1.01
23.06,39.12
1.43,179.29
0.04,24.74
3127.52,17.12
2.10,20.03
2.65,41.94
1.38,15.95
24.79,3.95
5.37,26.84
0.00,106.67
0.73,20.45
0.04,94.98
1.07,197.53
2.86,14.34
12.44,7.40
0.05,38.59
0.53,30.24
1.92,18.79
0.08,71.97
0.95,6.34
575.12,9.63
0.14,104.80
1.48,112.87
1.91,47.63
0.37,70.98
0.97,91.07
183.12,46.25
1.11,25.27
4548.01,2.25
0.08,12.81
99.08,76.62
0.15,64.73
0.19,10.58
6.68,29.78
0.63,86.92
23.99,16.76
1.39,47.53
15.78,0.51
0.00,76.57
0.12,195.08
26.13,41.56
14.45,168.66
1.26,119.09
1.02,63.71
0.70,77.61
16.03,27.26
4.58,23.82
0.14,90.40
2.16,83.64
16.09,22.19
0.17,98.05
0.01,71.62
19.31,0.72
35.16,2.79
187.04,106.54
0.32,24.77
72.91,24.33
0.04,74.55
0.02,103.40
0.31,39.06
0.80,34.82
7.65,23.81
14.96,94.84
3.07,35.15
3.53,162.92
0.04,25.26
3.53,182.49
7.28,57.03
446.91,75.75
39.97,32.10
0.36,5.53
3.20,37.47
0.28,53.48
1.76,27.31
63.37,38.09
127.69,57.70
0.79,11.38
0.04,24.72
0.11,97.54
55.06,53.38
5.82,50.66
1.99,6.02
0.22,62.71
7.77,40.27
6.62,12.23
0.64,26.62
140.48,54.14
4.65,56.78
2.57,161.22
0.00,44.16
43.99,18.64
0.44,96.45
0.03,103.15
0.38,102.22
0.03,38.38
3.26,54.61
689.76,4.16
1251.54,5.24
0.20,112.55
5.19,0.39
0.09,76.55
19.76,19.99
0.04,72.85
37.08,3.24
0.48,27.31
0.58,114.62
4.34,107.22
0.20,64.87
0.02,98.96
28.05,44.28
1.43,40.49
